Artist,Song,Album,Date
"Usher, Zaytoven","""A""",You Decide,"January 8, 2019 at 12:28AM"
"Usher, Zaytoven","""A""",Peace Sign,"January 8, 2019 at 12:31AM"
"Usher, Zaytoven","""A""",Say What U Want,"January 8, 2019 at 12:31AM"
"Usher, Zaytoven","""A""",She Ain't Tell Ya,"January 8, 2019 at 12:31AM"
"Usher, Zaytoven, Future","""A""",Stay At Home (feat. Future),"January 8, 2019 at 12:31AM"
"Usher, Zaytoven","""A""",Birthday,"January 8, 2019 at 12:31AM"
"Usher, Zaytoven, Gunna","""A""",Gift Shop (feat. Gunna),"January 8, 2019 at 12:31AM"
"Maceo, Zaytoven",Project Shit,Remember Dem Nights,"January 8, 2019 at 11:55AM"
"Maceo, Zaytoven",Project Shit,Freestyle,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven",Project Shit,Havin It,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven",Project Shit,Jumped off the Porch,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven, Young Scooter, Mexico Rann",Project Shit,All Time High,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven",Project Shit,Project Shit,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven",Project Shit,Winning,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven",Project Shit,They Kno It,"January 8, 2019 at 12:27PM"
"Maceo, Zaytoven, Pluto",Project Shit,Persona,"January 8, 2019 at 12:27PM"
Matt Maeson,The Mask,The Mask,"January 8, 2019 at 04:01PM"
"Foolio, Zaytoven",6toven,Ring Around The Rosie,"January 8, 2019 at 05:25PM"
"Foolio, Zaytoven",6toven,How U Do It,"January 8, 2019 at 05:29PM"
Foolio,6toven,Crooks,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,One Day,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Coolin Wit My Ruger,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Money 3X,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Uh Oh,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Narcos,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,6tro,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Wavy,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Yes Lord,"January 8, 2019 at 05:29PM"
"Foolio, Zaytoven",6toven,Whats Your Name,"January 8, 2019 at 05:29PM"
FKJ,French Kiwi Juice,Skyline,"January 8, 2019 at 08:58PM"
Mogwai,Rock Action,Take Me Somewhere Nice,"January 8, 2019 at 11:10PM"
Birdy,Birdy,People Help The People,"January 8, 2019 at 11:16PM"
Nuages,Dreams,Dreams,"January 8, 2019 at 11:33PM"
Nuages,Dreams,Dreams,"January 8, 2019 at 11:57PM"
Gert Taberner,Fallen,Fallen,"January 9, 2019 at 10:04AM"
Wolf Larsen,Quiet at the Kitchen Door,If I Be Wrong,"January 9, 2019 at 10:13AM"
Hollow Coves,Wanderlust,The Woods,"January 9, 2019 at 10:23AM"
L'Indécis,Playtime,Soulful,"January 9, 2019 at 10:34AM"
"Konoba, R.O",Smoke & Mirrors,On Our Knees (feat. R.O),"January 9, 2019 at 10:39AM"
HAEVN,The Sea,The Sea,"January 9, 2019 at 10:58AM"
Parra for Cuva,Paspatou,Paspatou,"January 9, 2019 at 11:03AM"
Elderbrook,Talking,Talking,"January 9, 2019 at 11:06AM"
"SG Lewis, Totally Enormous Extinct Dinosaurs",Again (feat. Totally Enormous Extinct Dinosaurs),Again (feat. Totally Enormous Extinct Dinosaurs),"January 9, 2019 at 11:12AM"
James Hersey,What I've done (Feast. Remix),What I've done - Feast. Remix,"January 9, 2019 at 11:14AM"
Swardy,Here on My Own,Here on My Own,"January 9, 2019 at 11:23AM"
"Lane 8, Ben Böhmer, Fractures",Hold On (Ben Böhmer Remix),Hold On - Ben Böhmer Remix,"January 9, 2019 at 11:39AM"
"Clément Leroux, Emma Hoet",U Got My Heart,U Got My Heart,"January 9, 2019 at 11:56AM"
"Autograf, French Horn Rebellion, Flyboy",Gravity / Dead Soon (Remixes),Gravity (Flyboy Remix feat. French Horn Rebellion & Flyboy) - Flyboy Remix,"January 9, 2019 at 12:05PM"
Uppermost,Given by Nature,Waves,"January 9, 2019 at 12:09PM"
"Thrupence, Wafia",Ideas Of Aesthetics,Atmos,"January 9, 2019 at 12:17PM"
"Luces, Amtrac, Plastic Plates",Soak,Soak,"January 9, 2019 at 12:22PM"
Dennis Lloyd,Nevermind,Nevermind,"January 9, 2019 at 12:27PM"
Eastern Odyssey,Crusade,Renaissance,"January 9, 2019 at 12:36PM"
"Fairlane, Ilsey",Uncover You,Uncover You,"January 9, 2019 at 12:38PM"
Eastern Odyssey,Crusade,Jumanji,"January 9, 2019 at 12:46PM"
Pascal Junior,Holdin' On,Holdin' On,"January 9, 2019 at 12:50PM"
Angus & Julia Stone,Snow,Chateau,"January 9, 2019 at 01:03PM"
"Angus & Julia Stone, ARTY",Chateau (ARTY Remix),Chateau - ARTY Remix,"January 9, 2019 at 01:05PM"
SHAED,MELT,Trampoline,"January 9, 2019 at 01:32PM"
The Blaze,SHE,SHE,"January 9, 2019 at 02:33PM"
King Henry,What About Me,What About Me,"January 9, 2019 at 02:35PM"
MK,17,17,"January 9, 2019 at 02:38PM"
Jan Blomqvist,Disconnected,The Space In Between,"January 9, 2019 at 02:45PM"
RÜFÜS DU SOL,SOLACE,Treat You Better,"January 9, 2019 at 02:47PM"
"American Authors, Billy Raffoul",Say Amen (feat. Billy Raffoul),Say Amen (feat. Billy Raffoul),"January 10, 2019 at 11:34AM"
"Rhye, RY X",Blood Remixed,Waste - RY X Remix,"January 10, 2019 at 02:42PM"
"Portugal. The Man, Mansionair",Tidal Wave (Remixes),Tidal Wave - Mansionair Remix,"January 10, 2019 at 02:48PM"
"Hayden James, ODESZA",Something About You (The Remixes),Something About You - ODESZA Remix,"January 10, 2019 at 02:54PM"
Hayden James,Something About You,Something About You,"January 10, 2019 at 02:54PM"
"SYML, Sam Feldt",Where's My Love (Sam Feldt Edit),Where's My Love - Sam Feldt Edit,"January 10, 2019 at 03:03PM"
Mokita,When I See You,When I See You,"January 10, 2019 at 03:09PM"
RÜFÜS DU SOL,SOLACE,No Place,"January 10, 2019 at 03:22PM"
"Akira The Don, Jordan Peterson",12 Rules for Life: the Album,Stand Up Straight With Your Shoulders Back,"January 10, 2019 at 03:58PM"
"Akira The Don, Jordan Peterson",Jbpwave: Genesis,Jordan B Peterson's Drinking Song,"January 10, 2019 at 04:02PM"
The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,"January 10, 2019 at 04:17PM"
Juice WRLD,Goodbye & Good Riddance,Lean Wit Me,"January 10, 2019 at 11:29PM"
Dennis Lloyd,Think About It,Think About It,"January 12, 2019 at 01:19PM"
Dennis Lloyd,Playa (Say That),Playa (Say That),"January 12, 2019 at 01:19PM"
Kodak Black,Dying To Live,Testimony,"January 12, 2019 at 01:29PM"
Yoke Lore,Goodpain,Goodpain,"January 14, 2019 at 08:58AM"
Declan McKenna,Brazil,Brazil,"January 14, 2019 at 09:09AM"
Phantogram,Three,Answer,"January 14, 2019 at 09:18AM"
No Vacation,Intermission,Yam Yam,"January 14, 2019 at 10:59AM"
Blonder,Lean,Lean,"January 14, 2019 at 11:02AM"
Cage The Elephant,Trouble,Trouble,"January 14, 2019 at 11:07AM"
alt-J,RELAXER,Deadcrush,"January 14, 2019 at 11:08AM"
Local Natives,Sunlit Youth,Dark Days,"January 14, 2019 at 11:13AM"
Tim Atlas,Compromised,Compromised,"January 14, 2019 at 11:18AM"
Beach Fossils,Down the Line,Down the Line,"January 14, 2019 at 11:25AM"
Avid Dancer,You Only Like Me with the Lights Out,You Only Like Me with the Lights Out,"January 14, 2019 at 11:27AM"
Sylvan Esso,What Now,Die Young,"January 14, 2019 at 11:34AM"
Tame Impala,Currents,Eventually,"January 14, 2019 at 11:42AM"
Mac DeMarco,This Old Dog,Still Beating,"January 14, 2019 at 11:49AM"
Yuno,No Going Back,No Going Back,"January 14, 2019 at 11:51AM"
Alvvays,Antisocialites,Dreams Tonite,"January 14, 2019 at 11:58AM"
Diskopunk,Fire,Fire,"January 14, 2019 at 12:02PM"
"Ra Ra Riot, Rostam",Need Your Light,Water,"January 14, 2019 at 12:29PM"
The Lagoons,California,California,"January 14, 2019 at 12:33PM"
Middle Kids,Middle Kids,Edge Of Town,"January 14, 2019 at 12:38PM"
Youth Lagoon,The Year of Hibernation,17,"January 14, 2019 at 01:57PM"
Underworld,A to Z: Bestival 2008 - compiled by Rob da Bank,Cowgirl,"January 14, 2019 at 07:47PM"
Meek Mill,Trap Doin' Numbers 2,Gave Em Hope,"January 14, 2019 at 07:52PM"
麦小兜,My First Song,9420,"January 14, 2019 at 09:04PM"
Skylar Grey,Aquaman (Original Motion Picture Soundtrack),Everything I Need - Film Version,"January 15, 2019 at 09:21AM"
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE (feat. Nicki Minaj & Murda Beatz),FEFE (feat. Nicki Minaj & Murda Beatz),"January 15, 2019 at 09:21AM"
"Bearson, Lemaitre, josh pan",It's Not This,It's Not This,"January 15, 2019 at 09:21AM"
Maikel Delacalle,Replay,Replay,"January 15, 2019 at 09:22AM"
Marconi Union,The Ambient Zone Just Music Cafe Vol 4,Weightless,"January 15, 2019 at 11:44AM"
Marconi Union,The Ambient Zone Just Music Cafe Vol 4,Weightless,"January 15, 2019 at 11:50AM"
"Mazde, LissA",Mazde X LissA,Battas,"January 15, 2019 at 12:25PM"
Jordan Mackampa,Physics EP,What Could Have Been,"January 15, 2019 at 12:35PM"
PYØR,Broke My Rules,Broke My Rules,"January 15, 2019 at 12:39PM"
Bishop Briggs,Church Of Scars,The Fire,"January 15, 2019 at 12:50PM"
Mazde,Shifted Thoughts,Forest of Gold,"January 15, 2019 at 06:11PM"
Rainbow Kitten Surprise,RKS,All's Well That Ends,"January 15, 2019 at 07:10PM"
Tom Walker,Blessings,Blessings,"January 15, 2019 at 07:18PM"
"Fakear, Ana Zimmer",All Glows,Something Wonderful,"January 15, 2019 at 07:26PM"
"Mazde, La Mar",Shifted Thoughts,Shifted Thoughts,"January 15, 2019 at 07:38PM"
Dennis Lloyd,Acts & Results,Act II: Can't Go Back,"January 15, 2019 at 07:41PM"
RKCB,Vice,Vice,"January 15, 2019 at 08:13PM"
Petit Biscuit,Presence,Beam,"January 15, 2019 at 08:14PM"
Dermot Kennedy,Mike Dean Presents: Dermot Kennedy,Couldn't Tell,"January 15, 2019 at 08:16PM"
Dennis Lloyd,Analyzing,Analyzing,"January 15, 2019 at 08:35PM"
"Mazde, LissA",390,390,"January 15, 2019 at 08:37PM"
Noah Kahan,Hurt Somebody,Passenger,"January 15, 2019 at 08:40PM"
Dennis Lloyd,Snow White,Snow White,"January 15, 2019 at 09:04PM"
"Petit Biscuit, Bipolar Sunshine, Cautious Clay",Wake Up,Wake Up,"January 15, 2019 at 09:04PM"
Dennis Lloyd,Think About It,Think About It,"January 16, 2019 at 09:16AM"
"Moglii, Island Fox",Naboo,Breath,"January 16, 2019 at 09:16AM"
"Two Friends, James Delaney",Emily,Emily,"January 16, 2019 at 03:38PM"
"Yves V, Marc Benjamin",Blow,Blow,"January 16, 2019 at 03:41PM"
Calippo,What Is House,What Is House,"January 16, 2019 at 03:48PM"
"Jabberwocky, Tessa B",Make Make,Honeymoon,"January 16, 2019 at 03:51PM"
Vendredi sur Mer,Marée basse,Les filles désir,"January 16, 2019 at 04:05PM"
Sondre Justad,Riv i hjertet,Et sted,"January 16, 2019 at 07:09PM"
Mahalia,No Pressure,No Pressure,"January 17, 2019 at 08:08AM"
"Jhene Aiko, Swae Lee",Trip,Sativa,"January 17, 2019 at 08:11AM"
"Solange, Sampha",A Seat at the Table,Don't Touch My Hair,"January 17, 2019 at 08:16AM"
"SZA, Travis Scott",Ctrl,Love Galore (feat. Travis Scott),"January 17, 2019 at 08:16AM"
"Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,All The Stars (with SZA),"January 17, 2019 at 08:21AM"
Sjowgren,Seventeen,Seventeen,"January 17, 2019 at 09:34AM"
Houndmouth,Little Neon Limelight,Sedona,"January 17, 2019 at 11:02AM"
Lord Huron,Lonesome Dreams,Ends of the Earth,"January 17, 2019 at 11:07AM"
Caamp,Caamp,Vagabond,"January 17, 2019 at 11:31AM"
Bahamas,Bahamas is Afie,All The Time,"January 17, 2019 at 11:37AM"
Perfume Genius,No Shape,Slip Away,"January 17, 2019 at 11:40AM"
Generationals,Heza,Put a Light On,"January 17, 2019 at 11:40AM"
Future Islands,The Far Field,Ancient Water,"January 17, 2019 at 11:45AM"
Local Natives,Gorilla Manor,Wide Eyes,"January 17, 2019 at 11:48AM"
Kishi Bashi,"Can’t Let Go, Juno","Can’t Let Go, Juno","January 17, 2019 at 11:55AM"
Rostam,Half-Light,Bike Dream,"January 17, 2019 at 12:01PM"
Two Door Cinema Club,Tourist History,What You Know,"January 17, 2019 at 12:03PM"
Soccer Mommy,Your Dog,Your Dog,"January 17, 2019 at 12:05PM"
Sylvan Esso,Sylvan Esso,Coffee,"January 17, 2019 at 12:12PM"
Portugal. The Man,Evil Friends,Purple Yellow Red and Blue,"January 17, 2019 at 03:25PM"
"Breakbot, Irfane",By Your Side,Baby I'm Yours (feat. Irfane),"January 17, 2019 at 04:00PM"
Manchester Orchestra,Mean Everything To Nothing,I Can Feel a Hot One,"January 17, 2019 at 04:03PM"
Real Estate,In Mind,Darling,"January 17, 2019 at 04:08PM"
Purity Ring,Shrines,Fineshrine,"January 17, 2019 at 04:11PM"
STRFKR,Starfucker,Rawnald Gregory Erickson the Second,"January 17, 2019 at 04:18PM"
Car Seat Headrest,Twin Fantasy,My Boy (Twin Fantasy),"January 17, 2019 at 04:35PM"
Phantogram,Eyelid Movies,When I'm Small,"January 17, 2019 at 04:40PM"
Spoon,They Want My Soul,Inside Out,"January 17, 2019 at 04:45PM"
Unknown Mortal Orchestra,II,So Good at Being in Trouble,"January 17, 2019 at 05:17PM"
"Witt Lowry, Deion Reverie",HURT,HURT,"January 18, 2019 at 07:01AM"
Death Cab for Cutie,Transatlanticism,Transatlanticism,"January 18, 2019 at 11:37AM"
Bon Iver,Bon Iver,Holocene,"January 18, 2019 at 11:49AM"
Mac DeMarco,2,Ode to Viceroy,"January 18, 2019 at 12:03PM"
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Angels,"January 18, 2019 at 01:30PM"
Gunna,Drip Season 3,Spending Addiction,"January 18, 2019 at 01:34PM"
Future,BEASTMODE 2,CUDDLE MY WRIST,"January 18, 2019 at 01:34PM"
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,GHOST!,"January 18, 2019 at 01:40PM"
YNW Melly,Murder On My Mind,Murder On My Mind,"January 18, 2019 at 02:39PM"
"Jedikiah, Drake Chisholm",Over U,Over U,"January 18, 2019 at 02:45PM"
"Lil Wayne, Swizz Beatz",Tha Carter V,Uproar,"January 18, 2019 at 02:57PM"
mxmtoon,plum blossom,temporary nothing,"January 19, 2019 at 02:26AM"
mxmtoon,plum blossom,feelings are fatal,"January 19, 2019 at 02:37AM"
mxmtoon,plum blossom,the idea of you,"January 19, 2019 at 02:37AM"
mxmtoon,plum blossom,i feel like chet,"January 19, 2019 at 02:37AM"
mxmtoon,porcelain,porcelain,"January 19, 2019 at 02:49AM"
Azizi Gibson,Backward Books 2,Boo,"January 19, 2019 at 02:50AM"
rei brown,Street Fighter,Street Fighter,"January 19, 2019 at 10:52AM"
Flipp Dinero,Leave Me Alone,Leave Me Alone,"January 20, 2019 at 02:11AM"
"Metro Boomin, Gunna",NOT ALL HEROES WEAR CAPES (Deluxe),Space Cadet (feat. Gunna),"January 20, 2019 at 02:11AM"
"Tape Machines, Jowen, SLCT",No Sugar Coated Love (The Remixes),No Sugar Coated Love (SLCT Remix),"January 21, 2019 at 11:25AM"
"Tape Machines, Jowen",No Sugar Coated Love,No Sugar Coated Love,"January 21, 2019 at 11:25AM"
"Tape Machines, Jowen, Squiid",No Sugar Coated Love (The Remixes),No Sugar Coated Love (Squiid Remix),"January 21, 2019 at 11:25AM"
"Monte Booker, Naji",Mona Lisa,Mona Lisa,"January 21, 2019 at 06:39PM"
Ennja,Let Go,Let Go,"January 21, 2019 at 08:52PM"
Lorn,The Maze To Nowhere,Acid Rain,"January 21, 2019 at 08:59PM"
Nuages,Closer,Closer,"January 21, 2019 at 11:29PM"
"Clams Casino, Plu2o Nash",Gravity,Gravity,"January 22, 2019 at 11:03AM"
White Ring,Gate of Grief,Lasts In,"January 22, 2019 at 11:06AM"
White Ring,Gate of Grief,Do U Love Me 2?,"January 22, 2019 at 11:11AM"
"Robot Koch, Graciela Maria",Project Mooncircle: 15th Anniversary,Harps and Landscapes (feat. Graciela Maria),"January 22, 2019 at 11:19AM"
Eviatar Banai,עד האהבה,עד האהבה,"January 23, 2019 at 11:25AM"
Anfa Rose,Substance,Substance,"January 23, 2019 at 11:44AM"
gianni & kyle,do u even miss me at all?,do u even miss me at all?,"January 23, 2019 at 11:50AM"
Yo Trane,Alone,Alone,"January 23, 2019 at 11:53AM"
SAINt JHN,Collection One,God Bless the Internet,"January 23, 2019 at 11:59AM"
Reo Cragun,Growing Pains,Trap Music,"January 23, 2019 at 12:01PM"
rei brown,I Can't See You in the Dark,I Can't See You in the Dark,"January 23, 2019 at 11:45PM"
"Jeremy Zucker, blackbear",idle,talk is overrated,"January 23, 2019 at 11:51PM"
Felly,Love of Mine,Love of Mine,"January 23, 2019 at 11:56PM"
OBESØN,Enemy,Enemy,"January 24, 2019 at 12:06AM"
"SLANDER, Bret James",Slow Motion,Slow Motion,"January 24, 2019 at 12:12AM"
"Just A Gent, NGHTMRE",Limelight (NGHTMRE Remix),Limelight (NGHTMRE Remix),"January 24, 2019 at 12:28AM"
"Vancouver Sleep Clinic, Drew Love",Closure,Closure,"January 24, 2019 at 12:39AM"
The Electric Sons,Golden Age - EP,Japanese Ceremonial Tea (Interlude),"January 24, 2019 at 08:54AM"
"Tim Schaufert, CASHFORGOLD",Taking Flight,Taking Flight,"January 24, 2019 at 11:52AM"
Late June,Fondness,Fondness,"January 24, 2019 at 12:43PM"
Coals,Homework,Weightless,"January 24, 2019 at 12:45PM"
Nuages,Lately,Lately,"January 24, 2019 at 12:50PM"
Talos,This Is Us Colliding,This Is Us Colliding,"January 24, 2019 at 12:52PM"
Late June,When You're Around,When You're Around,"January 24, 2019 at 12:55PM"
Kazukii,Venla,Sworn,"January 24, 2019 at 02:27PM"
Nuages,Distant,Distant,"January 24, 2019 at 02:32PM"
Coals,Lato2002,Lato2002,"January 24, 2019 at 02:35PM"
"Abstract, Dylan Reese",The Game,The Game,"January 25, 2019 at 12:44AM"
Dream Koala,We Can't Be Friends,We Can't Be Friends,"January 25, 2019 at 12:17PM"
Late June,Fondness,Fondness,"January 25, 2019 at 12:18PM"
alt-J,An Awesome Wave,Fitzpleasure,"January 25, 2019 at 07:32PM"
"Dwilly, Emilia Ali",ADD,ADD,"January 25, 2019 at 08:47PM"
"Joe Hertz, Pip Millett",Goodbye Kisses,Goodbye Kisses,"January 25, 2019 at 08:49PM"
Mura Masa,Soundtrack To A Death,I've Never Felt So Good,"January 25, 2019 at 08:54PM"
"Hablot Brown, Rob Araujo",Smiley Drive,Tell Me (feat. Rob Araujo),"January 25, 2019 at 09:06PM"
Tora,Too Much,Too Much,"January 25, 2019 at 09:12PM"
"Konoba, R.O",Smoke & Mirrors,On Our Knees (feat. R.O),"January 26, 2019 at 11:59AM"
mxmtoon,my way,my way,"January 27, 2019 at 11:11AM"
KIDS SEE GHOSTS,KIDS SEE GHOSTS,Cudi Montage,"January 27, 2019 at 01:41PM"
Jeremy Camp,The Answer,Storm,"January 27, 2019 at 02:06PM"
Franco from the 6,Visions from a Hundred Dollar Mic,Nightmare,"January 27, 2019 at 02:15PM"
"Aaron Smith, Luvli",Dancin (feat. Luvli) [Krono Remix],Dancin (feat. Luvli) - Krono Remix,"January 27, 2019 at 02:50PM"
SEAMS,seams,seams,"January 27, 2019 at 04:31PM"
"Sinner's Heist, Harley Bird",Streetlight People,Streetlight People,"January 27, 2019 at 04:39PM"
"Taska Black, DROELOE, CUT_",Running Away,Running Away,"January 27, 2019 at 04:42PM"
"ayokay, Jeremy Zucker",In the Shape of a Dream,Stay With Me,"January 27, 2019 at 04:45PM"
Willyecho,Welcome to the Fire,Welcome to the Fire,"January 27, 2019 at 05:27PM"
"Esterly, Austin Jenckes",This Is My World (feat. Austin Jenckes),This Is My World (feat. Austin Jenckes),"January 27, 2019 at 05:32PM"
"SMLE, Leanys",Love Notes EP,Fyl,"January 27, 2019 at 05:33PM"
8 Graves,Bury Me Low,Bury Me Low,"January 27, 2019 at 07:02PM"
"Mickey Valen, King Deco",Move That Body,Move That Body,"January 27, 2019 at 07:34PM"
Unlike Pluto,Bitter Paradise,Ladida,"January 27, 2019 at 07:38PM"
San Holo,The Trip EP,self-love,"January 27, 2019 at 07:42PM"
"Aeble, Tom Aspaul",Better By Your Side,Better By Your Side,"January 27, 2019 at 07:47PM"
HUNNY,Pain / Ache / Loving,July,"January 27, 2019 at 07:52PM"
"Kid Cudi, CeeLo Green",Man On The Moon II: The Legend Of Mr. Rager,Scott Mescudi Vs. The World,"January 28, 2019 at 12:48AM"
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,Ashin’ Kusher,"January 28, 2019 at 01:24AM"
Mild High Club,Skiptracing,Skiptracing,"January 28, 2019 at 02:18AM"
Mild High Club,Timeline,You and Me,"January 28, 2019 at 02:41AM"
Mild High Club,Skiptracing,Homage,"January 28, 2019 at 02:50AM"
Mild High Club,Skiptracing,Tesselation,"January 28, 2019 at 03:11AM"
Mild High Club,Timeline,Note to Self,"January 28, 2019 at 03:12AM"
Mild High Club,Timeline,Windowpane,"January 28, 2019 at 03:16AM"
Cake,Fashion Nugget,Frank Sinatra,"January 28, 2019 at 12:56PM"
NoMBe,They Might've Even Loved Me,Rocky Horror,"January 28, 2019 at 02:25PM"
Sylvan Esso,Echo Mountain Sessions EP,Die Young - Echo Mountain Sessions,"January 28, 2019 at 02:31PM"
slenderbodies,fabulist,anemone,"January 28, 2019 at 02:32PM"
Declan McKenna,What Do You Think About the Car?,Brazil,"January 28, 2019 at 02:40PM"
The Revivalists,Take Good Care,All My Friends,"January 28, 2019 at 02:44PM"
"Natalia Lafourcade, Los Macorinos","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Mi Tierra Veracruzana (feat. Los Macorinos),"January 28, 2019 at 02:44PM"
I DONT KNOW HOW BUT THEY FOUND ME,Choke,Choke,"January 28, 2019 at 02:54PM"
Hippo Campus,South - Single,South,"January 28, 2019 at 03:03PM"
"Unlike Pluto, Joanna Jones",Waiting for You (feat. Joanna Jones),Waiting for You (feat. Joanna Jones),"January 28, 2019 at 03:08PM"
Whilk & Misky,Rain Dance (Edit),Rain Dance - Edit,"January 28, 2019 at 03:16PM"
Peach Pit,Being So Normal,Tommy's Party,"January 28, 2019 at 03:18PM"
"Whilk & Misky, Marian Hill",Rain Dance (Marian Hill Remix),Rain Dance - Marian Hill Remix,"January 28, 2019 at 03:19PM"
Early Hours,Smells Like Summer,Smells Like Summer,"January 28, 2019 at 03:24PM"
"Ghosted, Kamille",Get Some,Get Some,"January 28, 2019 at 03:32PM"
Coast Modern,Hollow Life,Hollow Life,"January 28, 2019 at 03:46PM"
Noah Kahan,Young Blood,Young Blood,"January 28, 2019 at 03:46PM"
Will Jay,Broke,Broke,"January 28, 2019 at 03:54PM"
Token,Between Somewhere,Treehouse,"January 28, 2019 at 09:57PM"
"dodie, Tom Walker",Human,Human,"January 28, 2019 at 10:04PM"
"Gary Clark Jr., Junkie XL",Come Together,Come Together,"January 28, 2019 at 10:06PM"
"Clean Bandit, Demi Lovato",Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),"January 28, 2019 at 10:10PM"
"Collie Buddz, Paul Wall",Collie Buddz,What A Feeling,"January 28, 2019 at 10:21PM"
"Gorillaz, George Benson",The Now Now,Humility (feat. George Benson),"January 28, 2019 at 10:27PM"
Collie Buddz,Collie Buddz,Come Around,"January 28, 2019 at 11:32PM"
Richard Hawley,Coles Corner,The Ocean,"January 28, 2019 at 11:39PM"
"bbno$, Lentra",moves,moves,"January 29, 2019 at 10:27AM"
Vancouver Sleep Clinic,Ayahuasca,Ayahuasca,"January 29, 2019 at 11:43AM"
ミラクルミュージカル,Hawaii: Part II,Dream Sweet in Sea Major,"January 29, 2019 at 01:25PM"
Autoheart,Punch,Agoraphobia,"January 29, 2019 at 01:32PM"
Lenich & Kirya,Podskazka: Undertale Covers,Ruins,"January 29, 2019 at 01:36PM"
Penguin Cafe Orchestra,Penguin Café Orchestra,The Ecstasy Of Dancing Fleas - 2008 Digital Remaster,"January 29, 2019 at 01:40PM"
Penguin Cafe Orchestra,Penguin Café Orchestra,Yodel 2 - 2008 Digital Remaster,"January 29, 2019 at 01:40PM"
Folded Like Fabric,Luxuries,Luxuries,"January 29, 2019 at 06:24PM"
FRND,Sticks and Stones,Sticks and Stones,"January 29, 2019 at 06:43PM"
SG Lewis,Dusk,Sunsets - Pt. 2,"January 29, 2019 at 09:43PM"
FRND,100 Faces,100 Faces,"January 29, 2019 at 10:01PM"
Bryce Vine,Night Circus,Glamorama,"January 29, 2019 at 10:01PM"
"Lucian, Noé",Fly by Night (feat. Noé),Fly by Night (feat. Noé),"January 29, 2019 at 11:47PM"
"Disclosure, Eliza Doolittle, Flume",Settle (The Remixes),You & Me - Flume Remix,"January 29, 2019 at 11:56PM"
"Quinn XCII, Chelsea Cutler",The Story of Us,Flare Guns,"January 30, 2019 at 12:03AM"
Shoffy,Cool Again,Cool Again,"January 30, 2019 at 12:08AM"
Lund,Gold,Alone,"January 30, 2019 at 12:14AM"
"Anzeiity, Shiloh Dynasty",The Shiloh Tapes,Sorrow,"January 30, 2019 at 02:57PM"
Mothica,Majestic Casual - Chapter 3,No One - Kayge Calypso & DUNN Remix,"January 30, 2019 at 04:52PM"
Armors,Name,Name,"January 30, 2019 at 05:28PM"
"Mickey Valen, Noé",Meet Me,Meet Me,"January 30, 2019 at 05:33PM"
Quinn XCII,Change of Scenery,Wounds,"January 30, 2019 at 05:49PM"
"San Holo, James Vincent McMorrow, Anomalie",The Future (Remixes),The Future - Anomalie Remix,"January 30, 2019 at 05:53PM"
Transviolet,Undo,Undo,"January 30, 2019 at 05:57PM"
Jaymes Young,Feel Something,Black Magic,"January 30, 2019 at 06:03PM"
Quinn XCII,Iron & Steel,Iron & Steel,"January 30, 2019 at 06:14PM"
"Mothica, FLYES",Out Of It (Remixes),Out Of It - FLYES Remix,"January 30, 2019 at 06:24PM"
"Said the Sky, Yuppycult",Wide-Eyed,Just Us,"January 30, 2019 at 06:37PM"
Rainbow Kitten Surprise,Seven + Mary,Devil Like Me,"January 30, 2019 at 06:41PM"
Shakey Graves,Tomorrow,Tomorrow,"January 30, 2019 at 06:47PM"
Mt. Joy,Mt. Joy,Astrovan,"January 30, 2019 at 07:22PM"
Dr. Dog,Heart It Races,Heart It Races - Dr Dog Version,"January 30, 2019 at 07:29PM"
Rainbow Kitten Surprise,RKS,Lady Lie,"January 30, 2019 at 09:45PM"
Bahamas,Barchords,Lost In The Light,"January 30, 2019 at 09:47PM"
Cape Francis,Falling into Pieces,Olly,"January 30, 2019 at 10:32PM"
"Ben Cocks, Adam Connor",Songbirds,Calm Me Down,"January 30, 2019 at 10:39PM"
Liz Cooper & the Stampede,Live at the Silent Planet,The Night,"January 30, 2019 at 10:39PM"
